year,month,wave_height,time
1992,4,1.3962025295801561,1992-04-01T00:00:00Z
1992,5,1.310944530917428,1992-05-01T00:00:00Z
1992,6,1.1158478663387084,1992-06-01T00:00:00Z
1992,7,0.9092307716149551,1992-07-01T01:00:00Z
1992,8,0.9621890553985267,1992-08-01T00:00:00Z
1992,9,1.1086879448687783,1992-09-01T00:00:00Z
1992,10,1.449303133614388,1992-10-01T00:00:00Z
1992,11,1.563099629104797,1992-11-01T00:00:00Z
1992,12,2.7403508732836914,1992-12-01T01:00:00Z
1993,1,2.2653898720702124,1993-01-01T00:00:00Z
1993,2,2.5799701062374933,1993-02-01T00:00:00Z
1993,3,2.4775956243765167,1993-03-01T00:00:00Z
1993,4,2.1219273734858577,1993-04-01T00:00:00Z
1993,5,1.2291891945374982,1993-05-01T00:00:00Z
1993,6,1.1245441815461883,1993-06-01T00:00:00Z
1993,7,0.911156464758373,1993-07-01T00:00:00Z
1993,8,1.0243607046305725,1993-08-01T00:00:00Z
1993,9,1.3938398319592948,1993-09-01T00:00:00Z
1993,10,2.0849693245682976,1993-10-01T00:00:00Z
1993,11,1.883403064649307,1993-11-01T00:00:00Z
1993,12,2.6508108081044375,1993-12-01T00:00:00Z
1994,1,2.724414709818402,1994-01-01T00:00:00Z
1994,4,1.4608294892420977,1994-04-12T14:00:00Z
1994,5,1.537228256706958,1994-05-01T00:00:00Z
1994,6,1.081032079882202,1994-06-01T00:00:00Z
1994,7,0.9635616440070816,1994-07-01T00:00:00Z
1994,8,1.1694594605146222,1994-08-01T00:00:00Z
1994,9,1.25698324128486,1994-09-01T00:00:00Z
1994,10,1.3300136423696445,1994-10-01T00:00:00Z
1994,11,1.9983193251599114,1994-11-01T00:00:00Z
1994,12,2.2685636840457857,1994-12-01T00:00:00Z
1995,1,2.2047297248163735,1995-01-01T00:00:00Z
1995,2,2.2848942541824,1995-02-01T00:00:00Z
1995,3,1.6344827581685162,1995-03-01T00:00:00Z
1995,4,1.3394259858392503,1995-04-01T00:00:00Z
1995,5,1.5552523865137087,1995-05-01T00:00:00Z
1995,6,1.022861151884181,1995-06-01T00:00:00Z
1995,7,0.9729292957469683,1995-07-01T00:00:00Z
1995,9,1.6244318136014044,1995-09-01T01:00:00Z
1995,10,1.6729877207118213,1995-10-01T00:00:00Z
1995,11,2.084815949567256,1995-11-01T00:00:00Z
1995,12,2.0390476162471476,1995-12-01T00:00:00Z
